Date,Open,High,Low,Close
12/30/2022,"16,595","16,643","16,353","16,561"
12/29/2022,"16,588","16,650","16,468","16,596"
12/28/2022,"16,655","16,772","16,560","16,589"
12/27/2022,"16,839","16,962","16,601","16,655"
12/26/2022,"16,768","16,912","16,766","16,839"
12/25/2022,"16,842","16,851","16,734","16,768"
12/24/2022,"16,804","16,854","16,763","16,842"
12/23/2022,"16,780","16,917","16,764","16,804"
12/22/2022,"16,780","16,863","16,566","16,781"
12/21/2022,"16,861","16,924","16,738","16,780"
12/20/2022,"16,595","17,046","16,288","16,862"
12/19/2022,"16,760","16,832","16,531","16,595"
12/18/2022,"16,706","16,798","16,669","16,760"
12/17/2022,"16,877","16,887","16,539","16,706"
12/16/2022,"17,419","17,520","16,762","16,877"
12/15/2022,"17,774","17,874","17,327","17,419"
12/14/2022,"17,752","18,357","17,677","17,775"
12/13/2022,"17,122","17,955","17,094","17,752"
12/12/2022,"17,105","17,145","16,883","17,121"
12/11/2022,"17,173","17,259","17,094","17,105"
12/10/2022,"17,101","17,220","17,077","17,173"
12/09/2022,"17,199","17,338","17,088","17,101"
12/08/2022,"16,826","17,293","16,752","17,198"
12/07/2022,"16,993","17,130","16,700","16,826"
12/06/2022,"16,939","17,100","16,916","16,993"
12/05/2022,"17,093","17,413","16,881","16,939"
12/04/2022,"16,936","17,154","16,869","17,093"
12/03/2022,"17,035","17,146","16,907","16,936"
12/02/2022,"16,912","17,101","16,805","17,035"
12/01/2022,"17,093","17,301","16,902","16,912"
11/30/2022,"16,488","17,142","16,426","17,092"
11/29/2022,"16,252","16,530","16,097","16,488"
11/28/2022,"16,552","16,586","16,006","16,256"
11/27/2022,"16,495","16,585","16,387","16,552"
11/26/2022,"16,517","16,685","16,421","16,495"
11/25/2022,"16,554","16,615","16,346","16,517"
11/24/2022,"16,591","16,779","16,445","16,554"
11/23/2022,"16,116","16,671","16,069","16,590"
11/22/2022,"15,768","16,270","15,480","16,116"
11/21/2022,"16,513","16,513","15,591","15,768"
11/20/2022,"16,618","16,797","16,445","16,513"
11/19/2022,"16,614","16,699","16,546","16,618"
11/18/2022,"16,684","16,975","16,537","16,617"
11/17/2022,"16,560","16,742","16,408","16,684"
11/16/2022,"16,827","16,980","16,382","16,560"
11/15/2022,"16,250","17,098","16,242","16,825"
11/14/2022,"16,461","17,132","15,800","16,250"
11/13/2022,"16,796","16,914","16,421","16,461"
11/12/2022,"16,575","17,081","16,574","16,796"
11/11/2022,"18,059","18,085","16,351","16,569"
11/10/2022,"16,213","18,126","15,554","18,079"
11/09/2022,"18,174","18,718","16,107","16,199"
11/08/2022,"20,808","20,831","17,484","18,177"
11/07/2022,"21,206","21,211","20,601","20,809"
11/06/2022,"21,331","21,373","21,151","21,206"
11/05/2022,"21,095","21,469","21,059","21,331"
11/04/2022,"20,259","21,287","20,165","21,095"
11/03/2022,"20,258","20,383","20,050","20,259"
11/02/2022,"20,447","20,798","20,107","20,258"
11/01/2022,"20,371","20,677","20,339","20,447"
10/31/2022,"20,655","20,824","20,250","20,370"
10/30/2022,"20,845","20,932","20,571","20,655"
10/29/2022,"20,613","21,058","20,566","20,845"
10/28/2022,"20,631","20,746","20,025","20,613"
10/27/2022,"20,760","20,900","20,450","20,631"
10/26/2022,"20,272","21,012","20,010","20,759"
10/25/2022,"19,341","20,406","19,247","20,272"
