Date,Open,High,Low,Close
03/06/2025,"90,491","92,783","87,834","89,025"
03/05/2025,"86,813","90,891","86,370","90,491"
03/04/2025,"85,937","88,792","81,495","86,813"
03/03/2025,"94,357","94,821","85,136","85,937"
03/02/2025,"85,475","95,049","85,035","94,357"
03/01/2025,"84,108","86,508","83,793","85,475"
02/28/2025,"83,397","85,068","78,239","84,108"
02/27/2025,"84,210","86,966","82,617","83,397"
02/26/2025,"87,986","89,345","82,201","84,210"
02/25/2025,"93,981","94,304","85,991","87,979"
02/24/2025,"95,792","96,501","93,708","93,981"
02/23/2025,"96,589","96,703","95,268","95,792"
02/22/2025,"94,888","96,940","94,888","96,589"
02/21/2025,"98,502","99,502","94,860","94,882"
02/20/2025,"96,139","98,757","96,067","98,498"
02/19/2025,"94,146","96,673","94,105","96,136"
02/18/2025,"95,993","96,703","93,352","94,143"
02/17/2025,"96,923","97,248","95,230","95,994"
02/16/2025,"97,531","97,742","96,695","96,923"
02/15/2025,"97,217","97,975","96,758","97,531"
02/14/2025,"96,285","98,874","96,281","97,216"
02/13/2025,"97,050","98,099","95,237","96,284"
02/12/2025,"95,274","97,671","94,084","97,054"
02/11/2025,"97,366","98,487","94,861","95,272"
02/10/2025,"96,342","98,332","94,751","97,366"
02/09/2025,"96,472","97,328","95,807","96,342"
02/08/2025,"95,753","96,889","95,674","96,472"
02/07/2025,"96,899","100,189","95,684","95,753"
02/06/2025,"97,326","99,159","95,709","96,894"
02/05/2025,"98,684","99,146","96,230","97,326"
02/04/2025,"101,237","102,539","97,946","98,686"
02/03/2025,"97,767","102,116","91,229","101,239"
02/02/2025,"101,299","101,532","96,801","97,767"
02/01/2025,"101,623","102,748","100,957","101,299"
01/31/2025,"104,904","106,062","101,571","101,625"
01/30/2025,"104,222","106,439","103,346","104,897"
01/29/2025,"101,203","104,760","100,237","104,223"
01/28/2025,"101,402","103,723","100,952","101,200"
01/27/2025,"104,923","104,962","97,740","101,406"
01/26/2025,"104,950","105,428","104,448","104,923"
01/25/2025,"104,813","105,432","104,123","104,950"
01/24/2025,"103,322","107,151","102,325","104,812"
01/23/2025,"104,275","106,852","101,241","103,320"
01/22/2025,"106,128","106,818","103,339","104,270"
01/21/2025,"103,554","107,225","100,105","106,126"
01/20/2025,"106,183","109,225","99,521","103,555"
01/19/2025,"103,936","106,276","103,357","106,183"
01/18/2025,"104,764","105,079","102,260","103,936"
01/17/2025,"100,311","105,925","99,395","104,768"
01/16/2025,"99,615","100,857","97,336","100,308"
01/15/2025,"96,496","100,707","96,289","99,618"
01/14/2025,"93,557","97,334","93,395","96,504"
01/13/2025,"94,639","95,837","89,325","93,562"
01/12/2025,"94,547","95,351","93,710","94,638"
01/11/2025,"94,673","94,907","93,845","94,547"
01/10/2025,"91,861","95,766","91,653","94,674"
01/09/2025,"93,931","95,331","91,217","91,860"
01/08/2025,"96,466","97,248","92,568","93,929"
01/07/2025,"102,253","102,710","96,130","96,462"
01/06/2025,"98,253","102,497","97,923","102,259"
01/05/2025,"98,590","98,735","97,272","98,252"
01/04/2025,"98,305","98,610","97,560","98,590"
01/03/2025,"97,227","98,937","96,037","98,309"
01/02/2025,"94,588","97,743","94,206","97,228"
01/01/2025,"93,412","94,650","92,782","94,588"
12/31/2024,"94,201","96,098","91,797","93,414"
12/30/2024,"93,668","94,867","91,323","94,202"
12/29/2024,"94,907","95,516","93,209","93,668"
12/28/2024,"94,444","95,123","94,013","94,907"
12/27/2024,"95,452","97,268","93,304","94,448"
